transcript_id,transcript_position,score
ENST00000363664,91,0.9461652
ENST00000364234,75,0.032805897
ENST00000365128,83,0.039831348
ENST00000365128,141,0.90103084
ENST00000383898,75,0.016875716
ENST00000386347,39,0.13106325
ENST00000387342,14,0.09197404
ENST00000387342,54,0.013111588
ENST00000387342,59,0.06517952
ENST00000387409,41,0.025606763
ENST00000387419,25,0.0030827483
ENST00000387460,15,0.10055296
ENST00000387460,36,0.30522698
ENST00000387461,55,0.29681578
ENST00000389680,103,0.20660459
ENST00000389680,166,0.021253154
ENST00000389680,179,0.018296625
ENST00000389680,204,0.16581
ENST00000389680,218,0.01758857
ENST00000389680,266,0.011303416
ENST00000389680,330,0.30457786
ENST00000389680,350,0.03568805
ENST00000389680,360,0.2762657
ENST00000389680,371,0.13139786
ENST00000389680,389,0.015048869
ENST00000389680,399,0.38065007
ENST00000389680,415,0.08400665
ENST00000389680,421,0.34175527
ENST00000389680,456,0.0071100118
ENST00000389680,479,0.18602754
ENST00000389680,492,0.26239622
ENST00000389680,514,0.79792404
ENST00000389680,523,0.20429201
ENST00000389680,574,0.03410216
ENST00000389680,629,0.009223983
ENST00000389680,736,0.106963284
ENST00000389680,756,0.019156609
ENST00000389680,787,0.032217838
ENST00000389680,811,0.30091038
ENST00000389680,869,0.43281275
ENST00000389680,876,0.20528424
ENST00000389680,882,0.021800943
ENST00000389680,907,0.059271026
ENST00000389680,917,0.06730197
ENST00000390833,76,0.531252
ENST00000390833,104,0.9483607
ENST00000390930,46,0.17944182
ENST00000390930,79,0.3163057
ENST00000390930,133,0.6899963
ENST00000390930,199,0.23222233
ENST00000391141,40,0.6174501
ENST00000391141,58,0.013170716
ENST00000391141,93,0.23891568
ENST00000391141,193,0.05229436
ENST00000391141,227,0.19241065
ENST00000391141,244,0.015018064
ENST00000408612,16,0.01140859
ENST00000408612,31,0.6061126
ENST00000408612,67,0.010304025
ENST00000418539,108,0.07300614
ENST00000418539,139,0.021917118
ENST00000428895,432,0.042064212
ENST00000428895,500,0.001633978
ENST00000435586,33,0.22687733
ENST00000435586,47,0.8657775
ENST00000435586,76,0.31413078
ENST00000435586,86,0.14265619
ENST00000435586,135,0.09216866
ENST00000435586,214,0.30146122
ENST00000435586,356,0.23831879
ENST00000435586,378,0.0523342
ENST00000435586,440,0.81058687
ENST00000435586,509,0.07728961
ENST00000459477,62,0.008331621
ENST00000515734,439,0.012114439
ENST00000515734,473,0.31460196
ENST00000515734,576,0.38053736
ENST00000515734,660,0.049652565
ENST00000515734,678,0.041890517
ENST00000515734,728,0.047065064
ENST00000515734,745,0.13350174
ENST00000515734,797,0.0021427425
ENST00000515734,825,0.044161435
ENST00000515734,903,0.8420552
ENST00000515734,931,0.2362969
ENST00000515734,935,0.06123267
ENST00000515734,956,0.027342811
ENST00000515734,1013,0.10572574
ENST00000515734,1040,0.3725341
ENST00000515734,1056,0.088960126
ENST00000515734,1145,0.1277925
ENST00000515734,1164,0.022913406
ENST00000516672,52,0.008336977
ENST00000516672,167,0.7134596
ENST00000516672,254,0.3392137
ENST00000578183,416,0.028462946
ENST00000578183,495,0.048977025
ENST00000578183,502,0.37123287
ENST00000610460,78,0.49153638
ENST00000619779,78,0.66177
